TradableInstrumentAlphaCode,LogicalBusinessDay,BuySellIndicator,CountOfTrades
NBKP,2013/01/02,B,5
NCS,2013/01/02,B,1
NCT,2013/01/02,S,1
NED,2013/01/02,B,496
NED,2013/01/02,S,505
NEDSBQ,2013/01/02,S,1
NEP,2013/01/02,B,11
NEP,2013/01/02,S,8
NEWPLT,2013/01/02,B,1
NEWSLV,2013/01/02,B,1
NEWUSD,2013/01/02,S,2
NFILBI,2013/01/02,B,1
NFSH40,2013/01/02,B,1
NFTRCI,2013/01/02,B,1
NHM,2013/01/02,B,302
NHM,2013/01/02,S,498
NIV,2013/01/02,B,1
NIV,2013/01/02,S,2
NPK,2013/01/02,B,371
NPK,2013/01/02,S,328
NPN,2013/01/02,B,1833
NPN,2013/01/02,S,2521
NPNIHA,2013/01/02,S,2
NTC,2013/01/02,B,130
NTC,2013/01/02,S,151
NTCP,2013/01/02,B,1
NUT,2013/01/02,S,5
OCE,2013/01/02,B,22
OCE,2013/01/02,S,9
OCG,2013/01/02,S,1
OCT,2013/01/02,B,1
OCT,2013/01/02,S,11
OLG,2013/01/02,B,10
OLG,2013/01/02,S,3
OLM,2013/01/02,B,1
OLM,2013/01/02,S,1
OML,2013/01/02,B,494
OML,2013/01/02,S,422
OMLSTG,2013/01/02,B,1
OMN,2013/01/02,B,411
OMN,2013/01/02,S,238
ORE,2013/01/02,B,1
ORE,2013/01/02,S,1
PAM,2013/01/02,B,94
PAM,2013/01/02,S,85
PAN,2013/01/02,B,105
PAN,2013/01/02,S,78
PANN,2013/01/02,B,118
PANN,2013/01/02,S,90
PCT,2013/01/02,B,1
PDN,2013/01/02,S,1
PET,2013/01/02,B,17
PET,2013/01/02,S,11
PFG,2013/01/02,B,15
PFG,2013/01/02,S,51
PGFP,2013/01/02,B,2
PGL,2013/01/02,B,2
PGL,2013/01/02,S,4
PGR,2013/01/02,B,5
PGR,2013/01/02,S,11
PHM,2013/01/02,S,2
PIK,2013/01/02,B,262
PIK,2013/01/02,S,334
PKH,2013/01/02,B,1
PKH,2013/01/02,S,4
PLL,2013/01/02,B,4
PMM,2013/01/02,B,6
PMM,2013/01/02,S,5
PNC,2013/01/02,B,96
PNC,2013/01/02,S,54
PPC,2013/01/02,B,242
PPC,2013/01/02,S,244
PREFEX,2013/01/02,B,1
PSG,2013/01/02,B,47
PSG,2013/01/02,S,23
PSV,2013/01/02,S,1
PTXSPY,2013/01/02,B,1
PTXSPY,2013/01/02,S,6
PTXTEN,2013/01/02,B,3
PTXTEN,2013/01/02,S,1
PWK,2013/01/02,B,31
PWK,2013/01/02,S,19
RAC,2013/01/02,B,2
RAFFIN,2013/01/02,S,1
RAFIND,2013/01/02,B,1
RAFISA,2013/01/02,B,1
RAFISA,2013/01/02,S,2
RBA,2013/01/02,B,1
RBP,2013/01/02,B,10
RBP,2013/01/02,S,15
RBW,2013/01/02,B,5
RBW,2013/01/02,S,2
RBX,2013/01/02,B,93
RBX,2013/01/02,S,25
RDF,2013/01/02,B,152
RDF,2013/01/02,S,338
RDFSTC,2013/01/02,B,2
RDFSTC,2013/01/02,S,2
REB,2013/01/02,B,1
REB,2013/01/02,S,3
REI,2013/01/02,B,94
REI,2013/01/02,S,36
REM,2013/01/02,B,479
REM,2013/01/02,S,816
RES,2013/01/02,B,80
RES,2013/01/02,S,63
RIN,2013/01/02,B,15
RIN,2013/01/02,S,28
RLF,2013/01/02,B,1
RLO,2013/01/02,B,105
RLO,2013/01/02,S,79
RMBINF,2013/01/02,B,7
RMBINF,2013/01/02,S,2
RMBMID,2013/01/02,B,3
RMBMID,2013/01/02,S,1
RMBT40,2013/01/02,B,5
RMBT40,2013/01/02,S,1
RMH,2013/01/02,B,257
RMH,2013/01/02,S,510
RMI,2013/01/02,B,323
RMI,2013/01/02,S,317
ROC,2013/01/02,B,1
SAB,2013/01/02,B,680
SAB,2013/01/02,S,541
SAC,2013/01/02,B,30
SAC,2013/01/02,S,29
SAP,2013/01/02,B,225
SAP,2013/01/02,S,578
SBACRN,2013/01/02,B,1
SBAG1,2013/01/02,B,1
SBAOIL,2013/01/02,B,1
SBAPL1,2013/01/02,S,1
SBAS1,2013/01/02,B,4
SBAWHT,2013/01/02,B,1
SBK,2013/01/02,B,767
SBK,2013/01/02,S,2369
SBPP,2013/01/02,B,4
SBR003,2013/01/02,B,1
SCL,2013/01/02,B,13
SCL,2013/01/02,S,9
SDH,2013/01/02,B,2
SEP,2013/01/02,B,3
SFN,2013/01/02,B,3
SHB,2013/01/02,B,11
SHB,2013/01/02,S,5
SHF,2013/01/02,B,535
SHF,2013/01/02,S,847
SHFF,2013/01/02,B,2
SHFF,2013/01/02,S,3
SHP,2013/01/02,B,546
SHP,2013/01/02,S,1023
SHPIHE,2013/01/02,B,1
SHPIHE,2013/01/02,S,2
SHPSBW,2013/01/02,B,2
SKJ,2013/01/02,B,1
SKJ,2013/01/02,S,1
SLA,2013/01/02,S,1
SLM,2013/01/02,B,639
SLM,2013/01/02,S,1387
SLP,2013/01/02,B,3
SLP,2013/01/02,S,1
SNB,2013/01/02,B,1
SNB,2013/01/02,S,1
SNM,2013/01/02,S,1
SNT,2013/01/02,B,156
SNT,2013/01/02,S,110
SNU,2013/01/02,B,1
SNU,2013/01/02,S,1
SOH,2013/01/02,B,2
SOH,2013/01/02,S,1
SOL,2013/01/02,B,1209
SOL,2013/01/02,S,1267
SOLBE1,2013/01/02,B,3
SOLIHI,2013/01/02,B,4
